100;0.608700
99;0.612897
98;0.612974
97;0.616750
96;0.608832
95;0.614626
94;0.611476
93;0.614059
92;0.613303
91;0.616230
90;0.612222
89;0.619997
88;0.611441
87;0.615009
86;0.614251
85;0.617163
84;0.613804
83;0.621716
82;0.612582
81;0.615607
80;0.614219
79;0.619612
78;0.609961
77;0.617811
76;0.613400
75;0.617067
74;0.619248
73;0.622819
72;0.612461
71;0.620313
70;0.609592
69;0.617307
68;0.616566
67;0.620851
66;0.609504
65;0.618935
64;0.614990
63;0.618544
62;0.619927
61;0.624295
60;0.611944
59;0.623671
58;0.610880
57;0.615266
56;0.614477
55;0.621157
54;0.616941
53;0.627625
52;0.613536
51;0.619377
50;0.618800
49;0.627655
48;0.617622
47;0.629697
46;0.613894
45;0.619753
44;0.623450
43;0.631152
42;0.613946
41;0.629982
40;0.611875
39;0.622617
38;0.622576
37;0.630387
36;0.610340
35;0.626122
34;0.621972
33;0.630854
32;0.631836
31;0.639958
30;0.616667
29;0.640904
28;0.616071
27;0.629630
26;0.625740
25;0.638400
24;0.623264
23;0.648393
22;0.617769
21;0.632653
20;0.637500
19;0.662050
18;0.626543
17;0.660900
16;0.621094
15;0.635556
14;0.647959
13;0.680473
12;0.631944
11;0.685950
10;0.630000
9;0.679012
8;0.671875
7;0.714286
6;0.638889
5;0.760000
4;0.687500
3;0.777778
2;0.750000
1;1.000000
